student_id,Age,Math_score,Science_score,English_score,Hours_studied,pass_fail
1,17,54,65,59,0.2,1
2,24,39,57,63,0.7,1
3,19,50,56,62,1.9,1
4,22,43,47,55,1.8,0
5,16,86,91,77,6.1,1
6,21,66,52,68,0.8,1
7,21,81,59,48,4.8,1
8,22,50,55,75,0.6,1
9,21,72,72,74,4.6,1
10,17,92,91,73,6.8,1
11,23,67,85,77,5.1,1
12,17,83,85,88,4.9,1
13,18,66,96,68,3.7,1
14,21,73,85,72,6.7,1
15,16,76,84,90,6.4,1
16,21,53,40,65,1.7,1
17,23,72,75,47,1.1,1
18,22,78,79,85,7.2,1
19,18,74,75,83,4.1,1
20,22,84,65,83,4.8,1
21,23,95,69,88,4.2,1
22,24,80,82,68,6.0,1
23,20,40,78,76,3.5,1
24,24,72,76,78,6.1,1
25,20,73,83,75,6.7,1
26,24,89,75,75,7.3,1
27,17,100,72,80,7.4,1
28,25,89,98,88,7.6,1
29,17,80,87,70,7.8,1
30,18,38,73,58,2.1,1
31,19,85,69,79,7.4,1
32,21,57,65,69,3.5,1
33,19,72,60,60,0.5,1
34,16,61,82,54,1.8,1
35,17,68,85,56,4.1,1
36,25,68,75,85,4.6,1
37,22,71,69,54,1.5,1
38,16,82,83,75,5.4,1
39,22,80,75,81,5.8,1
40,18,82,69,77,3.4,1
41,17,78,60,100,3.5,1
42,16,100,100,74,7.8,1
43,18,44,72,74,3.3,1
44,16,82,86,100,7.9,1
45,23,57,49,69,2.3,1
46,23,42,53,88,1.2,1
47,25,88,84,88,5.9,1
48,24,64,66,62,1.3,1
49,18,78,68,41,0.5,1
50,25,79,52,58,2.0,1
51,22,66,74,74,5.3,1
52,21,80,51,74,1.9,1
53,20,95,60,85,3.7,1
54,25,87,95,87,8.0,1
55,20,56,64,63,1.1,1
56,23,91,79,66,6.7,1
57,24,59,48,48,0.1,1
58,18,39,79,55,2.1,1
59,18,48,55,70,2.2,1
60,20,87,72,93,4.0,1
61,16,49,63,79,0.7,1
62,20,60,46,69,1.3,1
63,24,77,67,70,0.1,1
64,21,65,79,78,4.7,1
65,20,95,56,77,2.9,1
66,19,79,69,86,5.3,1
67,22,86,63,83,7.8,1
68,18,90,100,83,7.1,1
69,21,65,90,78,6.3,1
70,18,71,99,91,6.3,1
71,23,67,53,59,1.8,1
72,19,82,58,56,1.8,1
73,20,92,82,74,6.9,1
74,24,55,89,71,2.6,1
75,20,69,60,72,1.4,1
76,21,77,76,70,3.5,1
77,25,73,66,46,1.5,1
78,19,63,83,74,2.9,1
79,21,71,72,84,5.0,1
80,22,57,62,55,2.6,1
81,19,85,64,81,3.4,1
82,20,58,74,62,3.2,1
83,19,53,62,59,3.4,1
84,19,74,80,47,4.1,1
